Name,FirstName,LastName,Department,EmployeeNo,Email,NetworkID,manager,GroupId
Sharon Carter,Sharon,Carter,Human Resources,1a2b3a4d,Sharon.Carter@eshiam.com,Sharon.Carter,1a2b3a,1
Ronald Mitchell,Ronald,Mitchell,Human Resources,1a2b3a4e,Ronald.Mitchell@eshiam.com,Ronald.Mitchell,1a2b3a,1
Elizabeth Taylor,Elizabeth,Taylor,Human Resources,1a2b3b,Elizabeth.Taylor@eshiam.com,Elizabeth.Taylor,1a2b,1
Michelle Perez,Michelle,Perez,Human Resources,1a2b3b4a,Michelle.Perez@eshiam.com,Michelle.Perez,1a2b3b,1
Anthony Roberts,Anthony,Roberts,Human Resources,1a2b3b4b,Anthony.Roberts@eshiam.com,Anthony.Roberts,1a2b3b,1
Laura Turner,Laura,Turner,Human Resources,1a2b3b4c,Laura.Turner@eshiam.com,Laura.Turner,1a2b,1
Kevin Phillips,Kevin,Phillips,Human Resources,1a2b3b4d,Kevin.Phillips@eshiam.com,Kevin.Phillips,1a2b3b,2
Sarah Campbell,Sarah,Campbell,Human Resources,1a2b3b4e,Sarah.Campbell@eshiam.com,Sarah.Campbell,1a2b3b,2
David Anderson,David,Anderson,Inventory,1a2b3c,David.Anderson@eshiam.com,David.Anderson,1a2b,2
Jason Parker,Jason,Parker,Inventory,1a2b3c4a,Jason.Parker@eshiam.com,Jason.Parker,1a2b3c,2
Kimberly Evans,Kimberly,Evans,Inventory,1a2b3c4b,Kimberly.Evans@eshiam.com,Kimberly.Evans,1a2b3c,2
Matthew Edwards,Matthew,Edwards,Inventory,1a2b3c4c,Matthew.Edwards@eshiam.com,Matthew.Edwards,1a2b3c,2
Deborah Collins,Deborah,Collins,Inventory,1a2b3c4d,Deborah.Collins@eshiam.com,Deborah.Collins,1a2b3c,2
Gary Stewart,Gary,Stewart,Inventory,1a2b3c4e,Gary.Stewart@eshiam.com,Gary.Stewart,1a2b3c,2
Jennifer Thomas,Jennifer,Thomas,Inventory,1a2b3d,Jennifer.Thomas@eshiam.com,Jennifer.Thomas,1a2b,2
Jessica Sanchez,Jessica,Sanchez,Inventory,1a2b3d4a,Jessica.Sanchez@eshiam.com,Jessica.Sanchez,1a2b3d,3
Timothy Morris,Timothy,Morris,Inventory,1a2b3d4b,Timothy.Morris@eshiam.com,Timothy.Morris,1a2b,3
Shirley Rogers,Shirley,Rogers,Inventory,1a2b3d4c,Shirley.Rogers@eshiam.com,Shirley.Rogers,1a2b3d,3
Jose Reed,Jose,Reed,Inventory,1a2b3d4d,Jose.Reed@eshiam.com,Jose.Reed,1a2b3d,3
Cynthia Cook,Cynthia,Cook,Inventory,1a2b3d4e,Cynthia.Cook@eshiam.com,Cynthia.Cook,1a2b3d,3
Patricia Jones,Patricia,Jones,Regional Operations,1a2c,Patricia.Jones@eshiam.com,Patricia.Jones,1a,4
Richard Jackson,Richard,Jackson,Accounting,1a2c3a,Richard.Jackson@eshiam.com,Richard.Jackson,1a2c,4
Larry Morgan,Larry,Morgan,Accounting,1a2c3a4a,Larry.Morgan@eshiam.com,Larry.Morgan,1a2c3a,4
Angela Bell,Angela,Bell,Accounting,1a2c3a4b,Angela.Bell@eshiam.com,Angela.Bell,1a2c3a,4
Jeffrey Murphy,Jeffrey,Murphy,Accounting,1a2c3a4c,Jeffrey.Murphy@eshiam.com,Jeffrey.Murphy,1a2c3a,4
Melissa Bailey,Melissa,Bailey,Accounting,1a2c3a4d,Melissa.Bailey@eshiam.com,Melissa.Bailey,1a2c3a,1
Frank Rivera,Frank,Rivera,Accounting,1a2c3a4e,Frank.Rivera@eshiam.com,Frank.Rivera,1a2c3a,2
Maria White,Maria,White,Developer,1a2c3b,Maria.White@eshiam.com,Maria.White,1a2c3b4e,4
Brenda Cooper,Brenda,Cooper,Accounting,1a2c3b4a,Brenda.Cooper@eshiam.com,Brenda.Cooper,1a2c3b,2
Scott Richardson,Scott,Richardson,Accounting,1a2c3b4b,Scott.Richardson@eshiam.com,Scott.Richardson,1a2c3b,3
