Name,FirstName,LastName,Department,EmployeeNo,Email,NetworkID,manager,GroupId
Sharon Carter,Sharon,Carter,Human Resources,Esh2b3a4d,Sharon.Carter@eshiam.com,Sharon.Carter,Esh2b3a,1
Ronald Mitchell,Ronald,Mitchell,Human Resources,Esh2b3a4e,Ronald.Mitchell@eshiam.com,Ronald.Mitchell,Esh2b3a,1
Elizabeth Taylor,Elizabeth,Taylor,Human Resources,Esh2b3b,Elizabeth.Taylor@eshiam.com,Elizabeth.Taylor,Esh2b,1
Michelle Perez,Michelle,Perez,Human Resources,Esh2b3b4a,Michelle.Perez@eshiam.com,Michelle.Perez,Esh2b3b,1
Anthony Roberts,Anthony,Roberts,Human Resources,Esh2b3b4b,Anthony.Roberts@eshiam.com,Anthony.Roberts,Esh2b3b,1
Laura Turner,Laura,Turner,Human Resources,Esh2b3b4c,Laura.Turner@eshiam.com,Laura.Turner,Esh2b,1
Kevin Phillips,Kevin,Phillips,Human Resources,Esh2b3b4d,Kevin.Phillips@eshiam.com,Kevin.Phillips,Esh2b3b,2
Sarah Campbell,Sarah,Campbell,Human Resources,Esh2b3b4e,Sarah.Campbell@eshiam.com,Sarah.Campbell,Esh2b3b,2
David Anderson,David,Anderson,Inventory,Esh2b3c,David.Anderson@eshiam.com,David.Anderson,Esh2b,2
Jason Parker,Jason,Parker,Inventory,Esh2b3c4a,Jason.Parker@eshiam.com,Jason.Parker,Esh2b3c,2
Kimberly Evans,Kimberly,Evans,Inventory,Esh2b3c4b,Kimberly.Evans@eshiam.com,Kimberly.Evans,Esh2b3c,2
Matthew Edwards,Matthew,Edwards,Inventory,Esh2b3c4c,Matthew.Edwards@eshiam.com,Matthew.Edwards,Esh2b3c,2
Deborah Collins,Deborah,Collins,Inventory,Esh2b3c4d,Deborah.Collins@eshiam.com,Deborah.Collins,Esh2b3c,2
Gary Stewart,Gary,Stewart,Inventory,Esh2b3c4e,Gary.Stewart@eshiam.com,Gary.Stewart,Esh2b3c,2
Jennifer Thomas,Jennifer,Thomas,Inventory,Esh2b3d,Jennifer.Thomas@eshiam.com,Jennifer.Thomas,Esh2b,2
Jessica Sanchez,Jessica,Sanchez,Inventory,Esh2b3d4a,Jessica.Sanchez@eshiam.com,Jessica.Sanchez,Esh2b3d,3
Timothy Morris,Timothy,Morris,Inventory,Esh2b3d4b,Timothy.Morris@eshiam.com,Timothy.Morris,Esh2b,3
Shirley Rogers,Shirley,Rogers,Inventory,Esh2b3d4c,Shirley.Rogers@eshiam.com,Shirley.Rogers,Esh2b3d,3
Jose Reed,Jose,Reed,Inventory,Esh2b3d4d,Jose.Reed@eshiam.com,Jose.Reed,Esh2b3d,3
Cynthia Cook,Cynthia,Cook,Inventory,Esh2b3d4e,Cynthia.Cook@eshiam.com,Cynthia.Cook,Esh2b3d,3
Patricia Jones,Patricia,Jones,Regional Operations,Esh2c,Patricia.Jones@eshiam.com,Patricia.Jones,Esh,4
Richard Jackson,Richard,Jackson,Accounting,Esh2c3a,Richard.Jackson@eshiam.com,Richard.Jackson,Esh2c,4
Larry Morgan,Larry,Morgan,Accounting,Esh2c3a4a,Larry.Morgan@eshiam.com,Larry.Morgan,Esh2c3a,4
Angela Bell,Angela,Bell,Accounting,Esh2c3a4b,Angela.Bell@eshiam.com,Angela.Bell,Esh2c3a,4
Jeffrey Murphy,Jeffrey,Murphy,Accounting,Esh2c3a4c,Jeffrey.Murphy@eshiam.com,Jeffrey.Murphy,Esh2c3a,4
Melissa Bailey,Melissa,Bailey,Accounting,Esh2c3a4d,Melissa.Bailey@eshiam.com,Melissa.Bailey,Esh2c3a,1
Frank Rivera,Frank,Rivera,Accounting,Esh2c3a4e,Frank.Rivera@eshiam.com,Frank.Rivera,Esh2c3a,2
Maria White,Maria,White,Developer,Esh2c3b,Maria.White@eshiam.com,Maria.White,Esh2c3b4e,4
Brenda Cooper,Brenda,Cooper,Accounting,Esh2c3b4a,Brenda.Cooper@eshiam.com,Brenda.Cooper,Esh2c3b,2
Scott Richardson,Scott,Richardson,Accounting,Esh2c3b4b,Scott.Richardson@eshiam.com,Scott.Richardson,Esh2c3b,3
