Name,FirstName,LastName,Department,EmployeeNo,Email,NetworkID,manager,inactive
Jason Parker,Jason,Parker,Inventory,1a2b3c4a,Jason.Parker@eshiam.com,Jason.Parker,1a2b3c,false
Kimberly Evans,Kimberly,Evans,Inventory,1a2b3c4b,Kimberly.Evans@eshiam.com,Kimberly.Evans,1a2b3c,false
Matthew Edwards,Matthew,Edwards,Inventory,1a2b3c4c,Matthew.Edwards@eshiam.com,Matthew.Edwards,1a2b3c,false
Deborah Collins,Deborah,Collins,Inventory,1a2b3c4d,Deborah.Collins@eshiam.com,Deborah.Collins,1a2b3c,false
Gary Stewart,Gary,Stewart,Inventory,1a2b3c4e,Gary.Stewart@eshiam.com,Gary.Stewart,1a2b3c,false
Jennifer Thomas,Jennifer,Thomas,Inventory,1a2b3d,Jennifer.Thomas@eshiam.com,Jennifer.Thomas,1a2b,false
Jessica Sanchez,Jessica,Sanchez,Inventory,1a2b3d4a,Jessica.Sanchez@eshiam.com,Jessica.Sanchez,1a2b3d,false
Timothy Morris,Timothy,Morris,Inventory,1a2b3d4b,Timothy.Morris@eshiam.com,Timothy.Morris,1a2b3d,false
Shirley Rogers,Shirley,Rogers,Inventory,1a2b3d4c,Shirley.Rogers@eshiam.com,Shirley.Rogers,1a2b3d,false
Jose Reed,Jose,Reed,Inventory,1a2b3d4d,Jose.Reed@eshiam.com,Jose.Reed,1a2b3d,false
Cynthia Cook,Cynthia,Cook,Inventory,1a2b3d4e,Cynthia.Cook@eshiam.com,Cynthia.Cook,1a2b3d,false
Patricia Jones,Patricia,Jones,Regional Operations,1a2c,Patricia.Jones@eshiam.com,Patricia.Jones,1a,false
Richard Jackson,Richard,Jackson,Accounting,1a2c3a,Richard.Jackson@eshiam.com,Richard.Jackson,1a2c,false
Larry Morgan,Larry,Morgan,Accounting,1a2c3a4a,Larry.Morgan@eshiam.com,Larry.Morgan,1a2c3a,false
Angela Bell,Angela,Bell,Accounting,1a2c3a4b,Angela.Bell@eshiam.com,Angela.Bell,1a2c3a,false
Jeffrey Murphy,Jeffrey,Murphy,Accounting,1a2c3a4c,Jeffrey.Murphy@eshiam.com,Jeffrey.Murphy,1a2c3a,false
Melissa Bailey,Melissa,Bailey,Accounting,1a2c3a4d,Melissa.Bailey@eshiam.com,Melissa.Bailey,1a2c3a,false
Frank Rivera,Frank,Rivera,Accounting,1a2c3a4e,Frank.Rivera@eshiam.com,Frank.Rivera,1a2c3a,false
Maria White,Maria,White,Accounting,1a2c3b,Maria.White@eshiam.com,Maria.White,1a2c,false
Brenda Cooper,Brenda,Cooper,Accounting,1a2c3b4a,Brenda.Cooper@eshiam.com,Brenda.Cooper,1a2c3b,false
Scott Richardson,Scott,Richardson,Accounting,1a2c3b4b,Scott.Richardson@eshiam.com,Scott.Richardson,1a2c3b,false
Amy Cox,Amy,Cox,Accounting,1a2c3b4c,Amy.Cox@eshiam.com,Amy.Cox,1a2c3b,false
Eric Howard,Eric,Howard,Accounting,1a2c3b4d,Eric.Howard@eshiam.com,Eric.Howard,1a2c3b,false
Anna Ward,Anna,Ward,Accounting,1a2c3b4e,Anna.Ward@eshiam.com,Anna.Ward,1a2c3b,false
Charles Harris,Charles,Harris,Finance,1a2c3c,Charles.Harris@eshiam.com,Charles.Harris,1a2c,false
Stephen Torres,Stephen,Torres,Finance,1a2c3c4a,Stephen.Torres@eshiam.com,Stephen.Torres,1a2c3c,false
Rebecca Peterson,Rebecca,Peterson,Finance,1a2c3c4b,Rebecca.Peterson@eshiam.com,Rebecca.Peterson,1a2c3c,false
Andrew Gray,Andrew,Gray,Finance,1a2c3c4c,Andrew.Gray@eshiam.com,Andrew.Gray,1a2c3c,false
Virginia Ramirez,Virginia,Ramirez,Finance,1a2c3c4d,Virginia.Ramirez@eshiam.com,Virginia.Ramirez,1a2c3c,false
Raymond James,Raymond,James,Finance,1a2c3c4e,Raymond.James@eshiam.com,Raymond.James,1a2c3c,false
