Name,FirstName,LastName,Department,EmployeeNo,Email,NetworkID,manager,inactive
,James Smith,James,Smith,Executive Management,1a,James.Smith1@eshiam.com,James.Smith,inactive,false
,Mary Johnson,Mary1,Johnson,Regional Operations,1a2a,Mary.Johnson@eshiam.com,Mary.Johnson,1a,inactive,false
,Robert Brown,Robert,Brown,Information Technology,1a2a3a,Robert.Brown@eshiam.com,Robert.Brown,1a2a,inactive,false
,Joseph Thompson,Joseph,Thompson,Information Technology,1a2a3a4a,Joseph.Thompson@eshiam.com,Joseph.Thompson,1a2a3a,inactive,false
,Margaret Garcia,Margaret,Garcia,Information Technology,1a2a3a4b,Margaret.Garcia@eshiam.com,Margaret.Garcia,1a2a3a,inactive,false
,Thomas Martinez,Thomas,Martinez,Information Technology,1a2a3a4c,Thomas.Martinez@eshiam.com,Thomas.Martinez,1a2a3a,inactive,false
,Dorothy Robinson,Dorothy,Robinson,Information Technology,1a2a3a4d,Dorothy.Robinson@eshiam.com,Dorothy.Robinson,1a2a3a,inactive,false
,Christopher Clark,Christopher,Clark,Information Technology,1a2a3a4e,Christopher.Clark@eshiam.com,Christopher.Clark,1a2a3a,inactive,false
,Linda Davis,Linda,Davis,Information Technology,1a2a3b,Linda.Davis@eshiam.com,Linda.Davis,1a2a,inactive,false
,Lisa Rodriguez,Lisa,Rodriguez,Information Technology,1a2a3b4a,Lisa.Rodriguez@eshiam.com,Lisa.Rodriguez,1a2a3b,inactive,false
,Daniel Lewis,Daniel,Lewis,Information Technology,1a2a3b4b,Daniel.Lewis@eshiam.com,Daniel.Lewis,1a2a3b,inactive,false
,Nancy Lee,Nancy,Lee,Information Technology,1a2a3b4c,Nancy.Lee@eshiam.com,Nancy.Lee,1a2a3b,inactive,false
,Paul Walker,Paul,Walker,Information Technology,1a2a3b4d,Paul.Walker@eshiam.com,Paul.Walker,1a2a3b,inactive,false
,Karen Hall,Karen,Hall,Information Technology,1a2a3b4e,Karen.Hall@eshiam.com,Karen.Hall,1a2a3b,inactive,false
,Michael Miller,Michael,Miller,Engineering,1a2a3c,Michael.Miller@eshiam.com,Michael.Miller,1a2a,inactive,false
