Name,FirstName,LastName,Department,EmployeeNo,Email,NetworkID,manager,inactive
James Smith,James,Smith,Executive Management,1a,James.Smith1@eshiam.com,James.Smith,
Mary Johnson,Mary1,Johnson,Regional Operations,1a2a,Mary.Johnson@eshiam.com,Mary.Johnson,1a
Robert Brown,Robert,Brown,Information Technology,1a2a3a,Robert.Brown@eshiam.com,Robert.Brown,1a2a
Joseph Thompson,Joseph,Thompson,Information Technology,1a2a3a4a,Joseph.Thompson@eshiam.com,Joseph.Thompson,1a2a3a
Margaret Garcia,Margaret,Garcia,Information Technology,1a2a3a4b,Margaret.Garcia@eshiam.com,Margaret.Garcia,1a2a3a
Thomas Martinez,Thomas,Martinez,Information Technology,1a2a3a4c,Thomas.Martinez@eshiam.com,Thomas.Martinez,1a2a3a
Dorothy Robinson,Dorothy,Robinson,Information Technology,1a2a3a4d,Dorothy.Robinson@eshiam.com,Dorothy.Robinson,1a2a3a
Christopher Clark,Christopher,Clark,Information Technology,1a2a3a4e,Christopher.Clark@eshiam.com,Christopher.Clark,1a2a3a
Linda Davis,Linda,Davis,Information Technology,1a2a3b,Linda.Davis@eshiam.com,Linda.Davis,1a2a
Lisa Rodriguez,Lisa,Rodriguez,Information Technology,1a2a3b4a,Lisa.Rodriguez@eshiam.com,Lisa.Rodriguez,1a2a3b
Daniel Lewis,Daniel,Lewis,Information Technology,1a2a3b4b,Daniel.Lewis@eshiam.com,Daniel.Lewis,1a2a3b
Nancy Lee,Nancy,Lee,Information Technology,1a2a3b4c,Nancy.Lee@eshiam.com,Nancy.Lee,1a2a3b
Paul Walker,Paul,Walker,Information Technology,1a2a3b4d,Paul.Walker@eshiam.com,Paul.Walker,1a2a3b
Karen Hall,Karen,Hall,Information Technology,1a2a3b4e,Karen.Hall@eshiam.com,Karen.Hall,1a2a3b
Michael Miller,Michael,Miller,Engineering,1a2a3c,Michael.Miller@eshiam.com,Michael.Miller,1a2a
Mark Allen,Mark,Allen,Engineering,1a2a3c4a,Mark.Allen@eshiam.com,Mark.Allen,1a2a3c 
Betty Young,Betty,Young,Engineering,1a2a3c4b,Betty.Young@eshiam.com,Betty.Young,1a2a3c
Donald Hernandez,Donald,Hernandez,Engineering,1a2a3c4c,Donald.Hernandez@eshiam.com,Donald.Hernandez,1a2a3c
Helen King,Helen,King,Engineering,1a2a3c4d,Helen.King@eshiam.com,Helen.King,1a2a3c
George Wright,George,Wright,Engineering,1a2a3c4e,George.Wright@eshiam.com,George.Wright,1a2a3c
Barbara Wilson,Barbara,Wilson,Accounting,1a2a3d,Barbara.Wilson@eshiam.com,Barbara.Wilson,1a2a
Sandra Lopez,Sandra,Lopez,Engineering,1a2a3d4a,Sandra.Lopez@eshiam.com,Sandra.Lopez,1a2a3d
Kenneth Hill,Kenneth,Hill,Engineering,1a2a3d4b,Kenneth.Hill@eshiam.com,Kenneth.Hill,1a2a3d
Donna Scott,Donna,Scott,Engineering,1a2a3d4c,Donna.Scott@eshiam.com,Donna.Scott,1a2a3d
Steven Green,Steven,Green,Accounting,1a2a3d4d,Steven.Green@eshiam.com,Steven.Green,1a2a3d
Carol Adams,Carol,Adams,Engineering,1a2a3d4e,Carol.Adams@eshiam.com,Carol.Adams,1a2a3d
John Williams,John,Williams,Regional Operations,1a2b,John.Williams@eshiam.com,John.Williams,1a
William Moore,William,Moore,Human Resources,1a2b3a,William.Moore@eshiam.com,William.Moore,1a2b
Edward Baker,Edward,Baker,Human Resources,1a2b3a4a,Edward.Baker@eshiam.com,Edward.Baker,1a2b3a
