Name,FirstName,LastName,Department,EmployeeNo,Email,NetworkID,manager,status
Rajesh Sandi,Rajesh,Sandi,Development,1,,Rajesh.sandi,,active
Raju Kotha,Raju,Kotha,Development,2,,Raju.Kotha,1,active
Naveen Rasali,Naveen,Rasali,Engineering,3,,Naveen.Rasali,2,active
Rajesh Sandi,Rajesh,Sandi,IT,1,,Rajesh.sandi,,active
Shekar Balsu,Shekar,Balsu,Development,4,,Shekar.Balsu,3,active
Rajesh Sandi,Rajesh,Sandi,Engineering,1,,Rajesh.sandi,,active
Ram Jetti,Ram,Jetti,Development,5,,Ram.Jetti,4,inactive
Rajesh Sandi,Rajesh,Sandi,Accounts,1,,Rajesh.sandi,,active
Rajesh Sandi,Rajesh,Sandi,IT,1,,Rajesh.sandi,,active
Naveen Rasali,Naveen,Rasali,Accounts,3,,Naveen.Rasali,2,active
Laxman Aligina,Laxman,Aligina,HR,6,,Laxman.Aligina,2,inactive
Lee Mary,Lee,Mary,IT,7,,Lee.Mary,6,inactive
Jam Tee,Jam,Tee,Engineering,8,,Jam.Tee,,inactive
