Name,FirstName,LastName,Department,EmployeeNo,Email,NetworkID,manager
Naresh,Naresh,Nattali,IT,2045,Naresh.nattali@eshiam.com,Naresh.Nattali,
Laxman,Laxman,Uppari,IT,2043,Laxman.uppari@eshiam.com,Laxman.Uppari,2045
Charu Clark,Charu,Clark,Information Technology,20453a4e,Charu.Clark@eshiam.com,Charu.Clark,20453a
Vamshi Davis,Linda,Davis,Information Technology,20453b,Linda.Davis@eshiam.com,Linda.Davis,2045
Lahari Rodriguez,Lahari,Rodriguez,Information Technology,20453b4a,Lahari.Rodriguez@eshiam.com,Lahari.Rodriguez,20453b
Dhanraj Lewis,Dhanraj,Lewis,Information Technology,20453b4b,Dhanraj.Lewis@eshiam.com,Dhanraj.Lewis,20453b
Bhavya Lee,Bhavya,Lee,Information Technology,20453b4c,Bhavya.Lee@eshiam.com,Bhavya.Lee,20453b
Pavan Walker,Pavan,Walker,Information Technology,20453b4d,Pavan.Walker@eshiam.com,Pavan.Walker,20453b
Kiran Hall,Kiran,Hall,Information Technology,20453b4e,Kiran.Hall@eshiam.com,Kiran.Hall,20453b
Machiraju Miller,Machiraju,Miller,Engineering,20453c,Machiraju.Miller@eshiam.com,Machiraju.Miller,2045
Manish Allen,Manish,Allen,Engineering,20453c4a,Manish.Allen@eshiam.com,Manish.Allen,20453c
Bhattu Young,Battu,Young,Engineering,20453c4b,Battu.Young@eshiam.com,Battu.Young,20453c
Divan Hernandez,Divan,Hernandez,Engineering,20453c4c,Divan.Hernandez@eshiam.com,Divan.Hernandez,20453c
Hanvesh King,Hanvesh,King,Engineering,20453c4d,Hanvesh.King@eshiam.com,Hanvesh.King,20453c
Gunny Wright,Gunny,Wright,Engineering,20453c4e,Gunny.Wright@eshiam.com,Gunny.Wright,20453c
Bhanu Wilson,Bhanu,Wilson,Engineering,20453d,Bhanu.Wilson@eshiam.com,Bhanu.Wilson,2045
Sandhya Lopez,Sandhya,Lopez,Engineering,20453d4a,Sandhya.Lopez@eshiam.com,Sandhya.Lopez,20453d
Keerthi Hill,Keerthi,Hill,Engineering,20453d4b,Keerthi.Hill@eshiam.com,Keerthi.Hill,20453d
Dhoni Scott,Dhoni,Scott,Engineering,20453d4c,Dhoni.Scott@eshiam.com,Dhoni.Scott,20453d
Sravan Green,Sravan,Green,Engineering,20453d4d,Sravan.Green@eshiam.com,Sravan.Green,20453d
